Id,Name,CourseType,Credits,Faculty
950135f5-fc24-5aad-aefa-71131cfbf74c,Įvadas į robotiką, Optional,5,MIF
e372a586-7d7f-556d-93ec-74a93102310a,Įvadas į specialybę, Compulsory,5,MIF
ccb4e31a-ac5d-5247-8999-e32c4bc558c8,Įvadas į verslo procesų vadybą, Optional,5,MIF
8e76f2a6-6a1f-5a86-9c34-059c32f6dad3,JAVA technologijos, Compulsory,5,MIF
6bb61a6e-b155-5951-a588-376c383fd9f2,JAVA technologijos, Optional,5,MIF
8c08ca4e-7955-5413-bc8f-194543160d1f,Judrusis programavimas Ruby, Optional,5,MIF
9ef25272-f367-5433-a5b8-8c0f08c6e404,Kategorinių duomenų analizė, Optional,5,MIF
c3c2e88b-04ef-5cfb-ab3c-aa9a2b34445f,Klaidas taisantys kodai, Compulsory,5,MIF
f6c85fdd-7d8c-5885-9d22-d8e8eefd2e69,Klaidas taisantys kodai, Optional,5,MIF
06a215a2-3f80-5789-bf54-ea98d6cfa03c,Kodavimas ir kriptografija, Optional,5,MIF
ec4cb5e0-4d5b-58db-934d-c4f4916712aa,Kodavimo teorija, Compulsory,5,MIF
c2580009-0635-5c23-9a6f-76cff59d5eae,Kodavimo teorija, Optional,5,MIF
403766ab-1bd6-5d64-93a4-50c0d5741938,Kokybės kontrolės sistemos, Compulsory,5,MIF
1ffbafc0-33e0-510b-9933-6729069ae3ca,Kombinatorika ir grafų teorija, Compulsory,5,MIF
f0f27ecc-1861-5f11-a272-a1bb1f5c7a50,Kombinatorika ir grafų teorija, Optional,5,MIF
7769623b-b8e8-5c1a-b0b4-89cef08337b9,Kombinatorika ir tikimybių teorija, Optional,5,MIF
11411310-68d4-5072-a5ad-4cd90ea68103,Kompiuterinė grafika, Optional,5,MIF
9c539afc-4932-5497-9fd1-81862b154d05,Kompiuterinė technika, Optional,5,MIF
3422699d-8af2-5e03-80ca-60ab59799b9e,Kompiuterinės grafikos algoritmai ir technologijos, Optional,5,MIF
